account_id,customer_id,account_type,balance
100000,1,Current,546460
100001,1,Current,689501
100002,2,Savings,870192
100003,3,Savings,573557
100004,4,Current,415469
100005,5,Current,639063
100006,5,Current,579893
100007,5,Savings,264870
100008,6,Savings,990156
100009,6,Salary,295139
100010,6,Savings,349335
100011,7,Current,573704
100012,8,Current,847255
100013,9,Savings,997945
100014,10,Salary,616814
100015,10,Salary,167444
100016,11,Salary,522270
100017,11,Salary,19609
100018,11,Savings,657968
100019,12,Current,149915
100020,12,Salary,378455
100021,12,Current,350203
100022,13,Current,675059
100023,13,Current,331978
100024,13,Savings,273936
100025,14,Salary,834311
100026,15,Salary,188737
100027,15,Current,176848
100028,16,Current,48007
100029,17,Savings,831186
100030,18,Salary,830051
100031,19,Savings,95143
100032,20,Salary,390063
100033,20,Salary,114200
100034,21,Salary,603330
100035,21,Savings,949117
100036,22,Current,163290
100037,23,Salary,644979
100038,23,Savings,435274
100039,23,Savings,846984
100040,24,Salary,92250
100041,24,Salary,976218
100042,24,Savings,86792
100043,25,Current,309386
100044,25,Current,895429
100045,26,Current,965898
100046,27,Current,861576
100047,27,Current,226889
100048,27,Salary,654332
100049,28,Savings,730044
100050,28,Savings,455564
100051,29,Savings,853481
100052,29,Salary,451097
100053,30,Savings,141509
100054,30,Current,585132
100055,30,Current,249371
100056,31,Current,393977
100057,31,Salary,652605
100058,32,Salary,182865
100059,33,Savings,144363
100060,33,Savings,988763
100061,34,Salary,413913
100062,34,Savings,189569
100063,35,Current,884434
100064,35,Savings,814776
100065,36,Current,410709
100066,37,Salary,105642
100067,37,Current,16055
100068,37,Savings,336787
100069,38,Current,552682
100070,39,Salary,267745
100071,40,Savings,234137
100072,40,Savings,673353
100073,41,Savings,990924
100074,42,Salary,475826
100075,43,Salary,242235
100076,44,Salary,652520
100077,44,Savings,411322
100078,44,Savings,617466
100079,45,Current,126166
100080,46,Current,379842
100081,46,Current,75619
100082,46,Current,324409
100083,47,Salary,604355
100084,48,Savings,531932
100085,48,Salary,567944
100086,49,Salary,885645
100087,49,Current,741468
100088,50,Current,318407
100089,50,Salary,935122
100090,50,Current,713813
100091,51,Salary,250575
100092,51,Savings,658978
100093,51,Salary,903793
100094,52,Current,716151
100095,52,Salary,768229
100096,52,Salary,733674
100097,53,Salary,203695
100098,54,Savings,638060
100099,55,Salary,34464
100100,55,Salary,263190
100101,56,Salary,766576
100102,56,Savings,407467
100103,56,Savings,866380
100104,57,Salary,160010
100105,58,Savings,167642
100106,58,Current,532637
100107,58,Salary,108577
100108,59,Salary,394235
100109,59,Savings,24474
100110,60,Current,260628
100111,60,Savings,581694
100112,61,Salary,553568
100113,61,Current,586020
100114,62,Salary,122762
100115,62,Salary,392812
100116,62,Current,233573
100117,63,Current,749894
100118,64,Current,628824
100119,64,Current,822830
100120,65,Savings,926292
100121,65,Savings,510549
100122,66,Salary,597970
100123,67,Salary,465450
100124,68,Current,333061
100125,68,Current,600454
100126,68,Salary,503276
100127,69,Savings,983219
100128,69,Savings,405493
100129,69,Current,950278
100130,70,Current,173954
100131,70,Savings,444755
100132,70,Salary,518805
100133,71,Salary,425687
100134,71,Savings,204694
100135,71,Current,829602
100136,72,Current,670020
100137,72,Savings,83685
100138,73,Savings,215000
100139,73,Salary,188364
100140,74,Savings,582241
100141,75,Salary,810955
100142,75,Savings,315235
100143,75,Savings,996380
100144,76,Savings,932796
100145,76,Current,568311
100146,77,Salary,91220
100147,77,Savings,899576
100148,77,Salary,642995
100149,78,Current,285032
100150,78,Savings,855274
100151,78,Salary,577478
100152,79,Savings,832389
100153,80,Savings,465621
100154,80,Savings,473292
100155,80,Savings,971003
100156,81,Savings,508998
100157,81,Savings,422547
100158,81,Savings,960268
100159,82,Savings,815404
100160,82,Current,353859
100161,82,Current,380761
100162,83,Savings,126541
100163,84,Current,149111
100164,85,Current,207656
100165,85,Savings,387593
100166,85,Salary,141835
100167,86,Current,484251
100168,86,Savings,100080
100169,86,Savings,659737
100170,87,Savings,829708
100171,88,Salary,856945
100172,88,Savings,883062
100173,88,Current,413073
100174,89,Current,342704
100175,89,Salary,208698
100176,90,Salary,173057
100177,90,Salary,140524
100178,91,Savings,612792
100179,91,Salary,693578
100180,91,Savings,939884
100181,92,Current,712393
100182,92,Savings,501191
100183,93,Salary,278750
100184,93,Savings,395768
100185,93,Salary,796824
100186,94,Salary,36824
100187,95,Salary,490773
100188,96,Current,987348
100189,96,Current,469917
100190,96,Salary,778560
100191,97,Current,548632
100192,97,Savings,224199
100193,98,Savings,355364
100194,98,Salary,856937
100195,99,Current,717287
100196,99,Salary,56257
100197,100,Current,650091
100198,101,Salary,369362
100199,101,Current,610889
100200,102,Current,680669
100201,102,Salary,201231
100202,102,Current,320743
100203,103,Current,901833
100204,103,Current,870438
100205,103,Salary,706540
100206,104,Current,25986
100207,105,Savings,217024
100208,105,Salary,302490
100209,106,Savings,554542
100210,106,Salary,440573
100211,106,Current,67173
100212,107,Current,770004
100213,107,Current,382905
100214,107,Savings,157976
100215,108,Salary,315928
100216,108,Salary,340206
100217,109,Salary,99393
100218,110,Current,661173
100219,110,Salary,672974
100220,110,Savings,466316
100221,111,Current,444840
100222,111,Current,186171
100223,112,Current,434431
100224,112,Salary,209259
100225,112,Savings,444516
100226,113,Salary,703468
100227,113,Salary,868207
100228,113,Savings,306687
100229,114,Current,508686
100230,114,Salary,882323
100231,115,Current,92862
100232,116,Current,660193
100233,116,Current,935076
100234,116,Current,854534
100235,117,Salary,124126
100236,117,Current,31736
100237,117,Savings,415651
100238,118,Salary,286416
100239,118,Current,196156
100240,119,Current,792792
100241,120,Salary,961798
100242,121,Current,34462
100243,121,Current,89733
100244,122,Savings,69198
100245,122,Salary,164118
100246,123,Salary,620419
100247,123,Salary,266263
100248,124,Current,256906
100249,124,Savings,279128
100250,125,Savings,25353
100251,126,Savings,52078
100252,126,Savings,919929
100253,127,Savings,43734
100254,128,Savings,517033
100255,128,Salary,776450
100256,129,Savings,560889
100257,130,Salary,611926
100258,130,Current,193323
100259,130,Current,514491
100260,131,Current,120953
100261,131,Current,954119
100262,132,Salary,137115
100263,132,Current,637804
100264,133,Current,838637
100265,133,Salary,837210
100266,133,Current,686250
100267,134,Salary,390611
100268,134,Salary,833336
100269,135,Savings,657864
100270,135,Current,120826
100271,136,Current,401352
100272,136,Current,460415
100273,136,Current,452381
100274,137,Savings,9046
100275,137,Salary,961691
100276,138,Salary,847756
100277,138,Savings,331246
100278,139,Savings,702363
100279,139,Salary,504027
100280,140,Salary,343548
100281,141,Current,483729
100282,141,Current,602203
100283,141,Salary,63296
100284,142,Savings,803073
100285,143,Savings,509065
100286,144,Savings,768950
100287,145,Current,616383
100288,145,Salary,131776
100289,145,Salary,670650
100290,146,Current,958188
100291,146,Salary,363882
100292,147,Current,720671
100293,148,Salary,574587
100294,149,Salary,398429
100295,150,Savings,53811
100296,151,Savings,568536
100297,152,Current,824740
100298,152,Salary,121196
100299,153,Salary,554542
100300,154,Current,310565
100301,155,Salary,410187
100302,155,Savings,814802
100303,156,Current,847241
100304,157,Savings,125464
100305,157,Salary,605800
100306,158,Current,885833
100307,158,Salary,254209
100308,158,Current,256460
100309,159,Current,127722
100310,159,Savings,11009
100311,159,Current,289890
100312,160,Savings,800346
100313,160,Salary,89784
100314,161,Salary,794429
100315,162,Salary,209366
100316,162,Current,733843
100317,163,Current,297807
100318,164,Savings,172268
100319,164,Salary,238088
100320,164,Savings,984468
100321,165,Current,620170
100322,165,Salary,5863
100323,165,Salary,630599
100324,166,Salary,248203
100325,166,Salary,939837
100326,167,Current,518129
100327,167,Savings,734942
100328,167,Savings,603140
100329,168,Savings,588780
100330,169,Current,467567
100331,170,Savings,601645
100332,171,Salary,297156
100333,172,Salary,76848
100334,173,Savings,764180
100335,174,Current,452155
100336,174,Savings,615171
100337,175,Current,264823
100338,175,Current,873003
100339,175,Current,772440
100340,176,Salary,208423
100341,176,Current,296382
100342,177,Savings,715276
100343,177,Current,763153
100344,178,Current,77979
100345,179,Salary,612088
100346,179,Salary,254388
100347,179,Salary,642383
100348,180,Savings,626360
100349,181,Salary,640389
100350,181,Salary,116604
100351,182,Current,916615
100352,182,Savings,653899
100353,183,Salary,806201
100354,184,Salary,669622
100355,184,Current,277289
100356,184,Savings,605573
100357,185,Savings,859320
100358,185,Current,498649
100359,186,Savings,48863
100360,186,Savings,941134
100361,186,Savings,275073
100362,187,Salary,501272
100363,187,Salary,798637
100364,187,Current,445461
100365,188,Savings,681158
100366,188,Savings,167427
100367,188,Salary,954806
100368,189,Salary,569667
100369,190,Current,324949
100370,191,Current,370893
100371,192,Savings,487865
100372,192,Salary,738319
100373,192,Salary,257608
100374,193,Current,420987
100375,193,Current,398632
100376,194,Salary,723528
100377,194,Current,310206
100378,195,Current,307882
100379,196,Current,669713
100380,196,Current,330752
100381,197,Savings,384506
100382,197,Current,625875
100383,198,Salary,188078
100384,199,Current,374521
100385,199,Current,600170
100386,199,Current,732376
100387,200,Salary,167265
100388,200,Savings,375694
100389,201,Current,175986
100390,202,Savings,783224
100391,202,Current,844652
100392,203,Current,507951
100393,203,Savings,279248
100394,204,Salary,169000
100395,204,Savings,357082
100396,205,Current,261976
100397,206,Salary,191097
100398,206,Current,825342
100399,207,Salary,671935
100400,208,Savings,486325
100401,208,Savings,531260
100402,209,Savings,757484
100403,210,Savings,984032
100404,211,Salary,48290
100405,211,Salary,449754
100406,211,Savings,54858
100407,212,Savings,899703
100408,213,Current,268787
100409,214,Savings,937791
100410,214,Savings,655307
100411,215,Savings,649047
100412,216,Salary,141525
100413,216,Salary,593716
100414,217,Salary,805560
100415,218,Current,883267
100416,218,Savings,936673
100417,219,Savings,271941
100418,220,Current,833033
100419,220,Savings,389098
100420,220,Salary,732332
100421,221,Savings,409823
100422,222,Current,569304
100423,222,Current,801014
100424,222,Salary,759580
100425,223,Savings,439835
100426,224,Savings,307124
100427,224,Savings,524573
100428,225,Current,40887
100429,226,Current,621641
100430,226,Savings,789843
100431,227,Current,176921
100432,227,Salary,844930
100433,228,Salary,570198
100434,228,Current,210269
100435,229,Current,814650
100436,229,Current,599648
100437,230,Salary,748563
100438,230,Savings,362438
100439,230,Salary,953035
100440,231,Salary,157121
100441,231,Salary,544007
100442,232,Current,381050
100443,232,Savings,65729
100444,233,Salary,562392
100445,233,Current,355132
100446,233,Salary,450056
100447,234,Salary,819338
100448,234,Salary,675188
100449,235,Savings,911950
100450,236,Salary,137655
100451,236,Savings,188881
100452,236,Salary,97941
100453,237,Current,235637
100454,238,Salary,736898
100455,238,Current,819718
100456,239,Current,794415
100457,240,Current,323274
100458,240,Salary,722239
100459,240,Savings,682807
100460,241,Salary,256003
100461,241,Salary,275618
100462,242,Current,844207
100463,243,Savings,841497
100464,243,Current,789366
100465,243,Savings,754009
100466,244,Salary,488642
100467,244,Salary,773260
100468,244,Salary,372990
100469,245,Current,295779
100470,245,Savings,127387
100471,246,Current,264296
100472,246,Salary,340026
100473,246,Current,236514
100474,247,Savings,791826
100475,247,Current,201718
100476,248,Current,543206
100477,249,Salary,434085
100478,249,Salary,332243
100479,250,Savings,542713
100480,250,Current,484086
100481,250,Current,820073
100482,251,Salary,634245
100483,251,Salary,897902
100484,252,Current,606648
100485,253,Savings,6739
100486,254,Current,551718
100487,254,Savings,77061
100488,255,Salary,686031
100489,255,Savings,755023
100490,256,Savings,80234
100491,257,Salary,544211
100492,257,Current,812012
100493,257,Current,958136
100494,258,Current,933491
100495,258,Savings,712938
100496,259,Savings,336644
100497,260,Salary,948350
100498,261,Salary,725645
100499,261,Current,36043
100500,261,Savings,861781
100501,262,Salary,470206
100502,263,Savings,738144
100503,264,Savings,458076
100504,264,Salary,614395
100505,264,Savings,265657
100506,265,Savings,228118
100507,265,Savings,451292
100508,265,Current,809528
100509,266,Salary,482349
100510,267,Savings,591513
100511,267,Current,166273
100512,268,Savings,520747
100513,268,Current,684957
100514,269,Savings,851533
100515,269,Savings,172803
100516,270,Salary,659084
100517,270,Savings,941410
100518,271,Savings,713364
100519,271,Savings,744621
100520,271,Current,403531
100521,272,Current,505826
100522,272,Savings,872887
100523,273,Salary,590528
100524,273,Salary,531884
100525,273,Current,650597
100526,274,Current,227313
100527,274,Current,122791
100528,275,Current,277336
100529,276,Salary,686365
100530,277,Salary,488876
100531,277,Savings,454064
100532,278,Savings,46088
100533,278,Salary,846459
100534,278,Salary,521504
100535,279,Salary,409844
100536,280,Salary,399785
100537,281,Current,30669
100538,282,Savings,569514
100539,282,Savings,500150
100540,283,Salary,523430
100541,283,Savings,673306
100542,284,Savings,758655
100543,284,Savings,73217
100544,285,Salary,279511
100545,285,Current,866068
100546,286,Salary,669479
100547,286,Current,359173
100548,287,Savings,421910
100549,288,Current,434898
100550,288,Salary,190335
100551,288,Savings,183468
100552,289,Current,298106
100553,290,Current,464623
100554,290,Salary,951305
100555,290,Current,685495
100556,291,Savings,521691
100557,291,Savings,567639
100558,291,Current,99258
100559,292,Current,502337
100560,293,Salary,391582
100561,293,Current,182441
100562,293,Savings,770076
100563,294,Current,351717
100564,294,Savings,792687
100565,294,Current,357362
100566,295,Savings,926730
100567,295,Savings,522487
100568,295,Current,530409
100569,296,Savings,924128
100570,297,Savings,941498
100571,297,Savings,243174
100572,297,Salary,724541
100573,298,Current,698446
100574,299,Salary,41760
100575,299,Current,578374
100576,299,Current,150251
100577,300,Savings,64482
100578,300,Salary,146035
100579,301,Salary,806296
100580,301,Current,654845
100581,302,Savings,266065
100582,302,Current,840062
100583,302,Salary,57385
100584,303,Salary,601793
100585,303,Savings,35570
100586,303,Savings,804074
100587,304,Current,577035
100588,305,Current,986846
100589,305,Current,30604
100590,306,Savings,946957
100591,306,Salary,963350
100592,307,Salary,109052
100593,307,Salary,178515
100594,307,Savings,122127
100595,308,Salary,88612
100596,308,Current,216063
100597,309,Current,916094
100598,310,Savings,495929
100599,310,Savings,601195
100600,311,Current,511743
100601,312,Salary,163718
100602,312,Current,354540
100603,312,Savings,179914
100604,313,Salary,64317
100605,313,Current,147302
100606,313,Current,575787
100607,314,Savings,470037
100608,314,Savings,305697
100609,315,Savings,893721
100610,315,Current,979573
100611,315,Savings,439303
100612,316,Current,674247
100613,316,Salary,389530
100614,317,Savings,381842
100615,318,Savings,542552
100616,318,Salary,858415
100617,319,Salary,771050
100618,320,Salary,508103
100619,320,Current,883761
100620,320,Current,402750
100621,321,Savings,710332
100622,321,Savings,254528
100623,322,Current,957063
100624,322,Salary,348188
100625,322,Savings,992258
100626,323,Salary,392387
100627,323,Salary,665098
100628,324,Savings,830871
100629,324,Savings,763365
100630,324,Savings,185096
100631,325,Salary,747928
100632,325,Salary,388574
100633,326,Savings,476961
100634,326,Current,60186
100635,326,Current,309459
100636,327,Savings,718496
100637,327,Savings,800905
100638,328,Salary,538449
100639,328,Salary,528772
100640,328,Current,727860
100641,329,Salary,246923
100642,330,Salary,691544
100643,331,Savings,793457
